domein,product_url,product_naam,variant,prijs,vergelijkingsprijs,eenheid,eenheidsprijs,sku,categorieën
basboernoten.nl,https://basboernoten.nl/gedroogd-fruit/abrikozen-ongezwaveld,Abrikozen ongezwaveld,Standaard,5.75,,,,,
basboernoten.nl,https://basboernoten.nl/chocolade/chocolade-rozijnen-gemengd,Chocolade rozijnen mix,Standaard,4.99,,,,,
basboernoten.nl,https://basboernoten.nl/noten/pistachenoten/,Pistachenoten,Standaard,4.99,,,,,
basboernoten.nl,https://basboernoten.nl/noten/hazelnoten/,Hazelnoten,Standaard,5.5,,,,,
basboernoten.nl,https://basboernoten.nl/gedroogd-fruit/cranberries-suikerarm,Cranberries appeldiksap,Standaard,4.95,,,,,
basboernoten.nl,https://basboernoten.nl/noten/amandelen/,Amandelen,Standaard,3.99,,,,,
basboernoten.nl,https://basboernoten.nl/gedroogd-fruit/rozijnen/,Rozijnen,Standaard,2.5,,,,,
basboernoten.nl,https://basboernoten.nl/gedroogd-fruit/abrikozen/,Abrikozen,Standaard,4.25,,,,,
basboernoten.nl,https://basboernoten.nl/chocolade/melkchocolade-druppels-callebaut,Melkchocolade druppels Callebaut,Standaard,4.5,,,,,
basboernoten.nl,https://basboernoten.nl/noten/walnoten/,Walnoten,Standaard,3.99,,,,,
basboernoten.nl,https://basboernoten.nl/chocolade/chocolade-noten-mix,Chocolade notenmix,Standaard,6.0,,,,,
basboernoten.nl,https://basboernoten.nl/gedroogd-fruit/dadels-medjoul,Dadels medjoul Jumbo,Standaard,3.95,,,,,
basboernoten.nl,https://basboernoten.nl/noten/cashewnoten/,Cashewnoten,Standaard,3.95,,,,,
basboernoten.nl,https://basboernoten.nl/chocolade/chocolade-pindas,Chocolade pinda's melk,Standaard,3.99,,,,,
basboernoten.nl,https://basboernoten.nl/noten/pecannoten/,Pecannoten,Standaard,5.99,,,,,
nootje.eu,https://nootje.eu/product/geisha-mix/,Geisha Mix,Standaard,2.75,,,,,
nootje.eu,https://nootje.eu/product/cashew-noten-gebrand-gezouten/,Cashew Noten gebrand gezouten,Standaard,5.95,,,,,
nootje.eu,https://nootje.eu/product/mogno-bicanero-500-gram/,Mogno Bicanero (500 gram),Standaard,9.95,,,,,
nootje.eu,https://nootje.eu/product/amandelen-wit-gebrand-gezouten/,Amandelen wit gebrand gezouten,Standaard,6.74,,,,,
nootje.eu,https://nootje.eu/product/hazelnoot-wit-ongebrand/,Hazelnoot wit ongebrand,Standaard,3.25,,,,,
nootje.eu,https://nootje.eu/product/polarare-mix/,Polarare mix,Standaard,2.25,,,,,
nootje.eu,https://nootje.eu/product/grote-rozijnen-geel/,Grote rozijnen geel,Standaard,4.76,,,,,
nootje.eu,https://nootje.eu/product/macadamia-ongebrand/,Macadamia ongebrand,Standaard,2.5,,,,,
